action,reason,source_path,kept_path,date,image_index,format,width,height
kept,,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-01-08_guardian_8e43057087_img02.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-01-08_guardian_8e43057087_img02.jpg,2013-01-08,2,JPEG,445,366
kept,,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-01-10_guardian_b7866bb156_img01.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-01-10_guardian_b7866bb156_img01.jpg,2013-01-10,1,JPEG,465,279
kept,,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-01-16_guardian_a9bb4437ce_img01.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-01-16_guardian_a9bb4437ce_img01.jpg,2013-01-16,1,JPEG,445,267
kept,,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-01-22_guardian_8c4e336da4_img02.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-01-22_guardian_8c4e336da4_img02.jpg,2013-01-22,2,JPEG,445,484
kept,,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-03-27_guardian_55b032a9d8_img02.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-03-27_guardian_55b032a9d8_img02.jpg,2013-03-27,2,JPEG,445,445
kept,,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-04-17_guardian_cfc881c860_img03.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-04-17_guardian_cfc881c860_img03.jpg,2013-04-17,3,JPEG,445,478
kept,,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-04-22_guardian_5d0a9b953d_img02.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-04-22_guardian_5d0a9b953d_img02.jpg,2013-04-22,2,JPEG,445,267
kept,,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-05-16_guardian_8df57908c2_img02.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-05-16_guardian_8df57908c2_img02.jpg,2013-05-16,2,JPEG,445,418
kept,,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-05-16_guardian_8df57908c2_img03.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-05-16_guardian_8df57908c2_img03.jpg,2013-05-16,3,JPEG,445,303
kept,,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-05-17_guardian_b36f42dcaf_img02.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-05-17_guardian_b36f42dcaf_img02.jpg,2013-05-17,2,JPEG,445,334
kept,,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-05-24_guardian_c4c5b5e6b3_img02.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-05-24_guardian_c4c5b5e6b3_img02.jpg,2013-05-24,2,JPEG,465,349
kept,,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-06-11_guardian_5727e9f393_img01.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-06-11_guardian_5727e9f393_img01.jpg,2013-06-11,1,JPEG,460,276
kept,,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-06-11_guardian_4c11daf69f_img02.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-06-11_guardian_4c11daf69f_img02.jpg,2013-06-11,2,JPEG,445,230
kept,,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-06-11_guardian_4c11daf69f_img03.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-06-11_guardian_4c11daf69f_img03.jpg,2013-06-11,3,JPEG,445,303
kept,,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-06-14_guardian_bd0ed19675_img03.jpg,D:\FR\IGD\IPCC internship\output\guardian\guardian_images\guardian_images_dataviz\guardian_2013-06-14_guardian_bd0ed19675_img03.jpg,2013-06-14,3,JPEG,445,548
